FID,FireName,FireNo,Label,StartDate,EndDate,area_ha
5940, ,BMS-01-14,2001-02 Wildfire,11/09/2001,11/09/2001,3.01851983
5941, ,BMS-01-19,2001-02 Wildfire,29/10/2001,29/10/2001,3.22313611
5942, ,smt-2001-08,2001-02 Wildfire,9/09/2001,9/09/2001,0.00999945
5943, ,BMS-01-17,2001-02 Wildfire,27/10/2001,27/10/2001,0.37102767
5944, ,smt-2001-16,2001-02 Wildfire,6/11/2001,6/11/2001,14.28582599
5945, ,CCHR 0102-25,2001-02 Wildfire,9/11/2001,9/11/2001,3115.448887
5946, ,SNR 01/12,2001-02 Wildfire,,,0.70162798
5947, ,CCHR 0102-27,2001-02 Wildfire,5/11/2001,5/11/2001,12.69236346
5948, ,CCHR 0102-01,2001-02 Wildfire,26/08/2001,26/08/2001,0.00863499
5949, ,CCHR 0102-02,2001-02 Wildfire,17/09/2001,17/09/2001,1.36120112
5950, ,BMS-01-64,2001-02 Wildfire,28/01/2002,28/01/2002,25262.52458
5951, ,BMS-01-61,2001-02 Wildfire,26/12/2001,26/12/2001,44.43980028
5952, ,BMS-01-61,2001-02 Wildfire,26/12/2001,26/12/2001,0.00357502
5953, ,BMS-01-61,2001-02 Wildfire,26/12/2001,26/12/2001,16.26311977
5954, ,SNR 01/,2001-02 Wildfire,8/10/2001,8/10/2001,0.99994285
5955, ,CCHR,2001-02 Wildfire,2/11/2001,2/11/2001,0.50009375
5956, ,SNR,2001-02 Wildfire,,,1.5365711
5957, ,CCHR,2001-02 Wildfire,2/11/2001,2/11/2001,0.5000686
5958, ,CCHR,2001-02 Wildfire,2/11/2001,2/11/2001,81.26295815
5959, ,CCHR,2001-02 Wildfire,2/11/2001,2/11/2001,3.0370434
5960, ,BMS-01-16,2001-02 Wildfire,22/10/2001,22/10/2001,119.5929006
5961, ,CCHR 0102-39,2001-02 Wildfire,2/12/2001,2/12/2001,65.66994892
5962, ,smt-2001-?,2001-02 Wildfire,13/12/2001,13/12/2001,1.19990771
5963, ,CCHR 0102-19,2001-02 Wildfire,,,100.5913896
5964, ,BMS-01-11,2001-02 Wildfire,30/09/2001,30/09/2001,0.283584
5965, ,CCHR 0102-10,2001-02 Wildfire,9/10/2001,9/10/2001,22.39607489
5966, ,CCHR 0102-31,2001-02 Wildfire,9/11/2001,9/11/2001,519.6093922
5967, ,CCHR 0102-65,2001-02 Wildfire,29/12/2001,29/12/2001,96.23170564
5968, ,BMS-01-21,2001-02 Wildfire,3/12/2001,3/12/2001,1.23465659
5969, ,BMS-01-63,2001-02 Wildfire,13/01/2002,13/01/2002,3340.658228
5970, ,BMS-01-38,2001-02 Wildfire,24/12/2001,24/12/2001,738.039655
5971, ,BMS-01-38,2001-02 Wildfire,24/12/2001,24/12/2001,29.93570014
5972, ,CCHR 0102-64,2001-02 Wildfire,6/02/2002,6/02/2002,86752.26388
5973, ,CCHR 0102-64,2001-02 Wildfire,6/02/2002,6/02/2002,0.00022217
5974, ,BMS-01-Outside fire,2001-02 Wildfire,,,172.4215756
5975, ,BMS-01-62,2001-02 Wildfire,15/01/2002,15/01/2002,16010.21405
5976, ,CCHR 0102-24,2001-02 Wildfire,3/11/2001,3/11/2001,948.3301282
5977, ,CCHR 0102-13,2001-02 Wildfire,13/10/2001,13/10/2001,64.23320512
5978, ,CCHR 0102-13,2001-02 Wildfire,13/10/2001,13/10/2001,653.7907013
5979, ,CCHR 0102-13,2001-02 Wildfire,13/10/2001,13/10/2001,60.3586333
5980, ,CCHR 0102-13,2001-02 Wildfire,13/10/2001,13/10/2001,22.6650434
5981, ,CCHR 0102-69,2001-02 Wildfire,4/01/2002,4/01/2002,3.04536026
5982, ,CCHR 0102-63,2001-02 Wildfire,30/12/2001,30/12/2001,20.28797219
5983, ,CCHR 0102-09,2001-02 Wildfire,8/10/2001,8/10/2001,0.1483127
5984, ,CCHR 0102-23,2001-02 Wildfire,,,111.061059
5985, ,CCHR 0102-48,2001-02 Wildfire,4/02/2002,4/02/2002,85739.24792
5986, ,CCHR 0102-48,2001-02 Wildfire,4/02/2002,4/02/2002,4.804e-05
5987, ,CCHR 0102-40,2001-02 Wildfire,8/12/2001,8/12/2001,34.72006049
5988, ,FR 001,2001-02 Wildfire,1/08/2001,1/08/2001,0.78020216
5989, , ,2001-02 Wildfire,,,16.12754615
5990, ,CCHR 0102-03,2001-02 Wildfire,18/09/2001,18/09/2001,36.07586218
5991, ,BMS-01-60,2001-02 Wildfire,7/01/2002,7/01/2002,163.4052349
5992, ,CCHR 0102-43,2001-02 Wildfire,10/12/2001,10/12/2001,5.35353131
5993, ,BMS-01-10,2001-02 Wildfire,30/10/2001,30/10/2001,5.03216989
5994, ,smt-2001-14,2001-02 Wildfire,26/10/2001,26/10/2001,0.09997294
5995, ,BMS-01-29,2001-02 Wildfire,3/12/2001,3/12/2001,4.99732444
5996, ,CCHR 0102-08,2001-02 Wildfire,8/10/2001,8/10/2001,0.00245555
5997, ,CCHR 0102-08,2001-02 Wildfire,8/10/2001,8/10/2001,0.00245556
5998, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,53.44050682
5999, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,4.12502822
6000, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,0.00366475
6001, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,44167.54762
6002, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,0.00228724
6003, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,1.109e-05
6004, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,0.00141551
6005, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,2.7e-07
6006, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,0.02669131
6007, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,13.67249168
6008, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,1.35870143
6009, ,BMS-01-55,2001-02 Wildfire,27/01/2002,27/01/2002,33.12377906
6010, ,CCHR 0102-37,2001-02 Wildfire,4/11/2001,4/11/2001,246.5581661
6011, ,BMS-01-36,2001-02 Wildfire,12/12/2001,12/12/2001,65.20982336
6012, ,CCHR 0102-45,2001-02 Wildfire,5/12/2001,5/12/2001,1.64785625
6013, ,CCHR 0102-34,2001-02 Wildfire,12/11/2001,12/11/2001,2286.07038
6014, ,CCHR,2001-02 Wildfire,2/11/2001,2/11/2001,0.50010488
6015, ,BMS-01-13,2001-02 Wildfire,17/07/2001,17/07/2001,0.43705003
6016, , ,2001-02 Wildfire,,,52.07386119
6017, ,BMS-01-04,2001-02 Wildfire,3/10/2001,3/10/2001,584.0241834
6018, ,CCHR 0102-44,2001-02 Wildfire,5/12/2001,5/12/2001,3.577552
6019, ,CCHR 0102-74,2001-02 Wildfire,5/11/2001,5/11/2001,48.75605988
6020, ,CCHR 0102-04,2001-02 Wildfire,26/09/2001,26/09/2001,15.36437196
6021, ,CCHR 0102-04,2001-02 Wildfire,26/09/2001,26/09/2001,4.80744779
6022, ,CCHR 0102-04,2001-02 Wildfire,26/09/2001,26/09/2001,30.43208131
6023, ,BMS-01-37,2001-02 Wildfire,,,31.27533645
6024, ,BMS-01-20,2001-02 Wildfire,31/10/2001,31/10/2001,72.71346842
6025, ,SNR 01/03,2001-02 Wildfire,19/09/2001,19/09/2001,2.01106725
6026, ,BMS-01-02,2001-02 Wildfire,29/09/2001,29/09/2001,31.15659722
6027, ,smt-2001-11,2001-02 Wildfire,23/10/2001,23/10/2001,1.99986599
6028, ,BMS-01-41,2001-02 Wildfire,,,50.14700288
6029, ,BMS-01-28,2001-02 Wildfire,7/12/2001,7/12/2001,23.27648903
6030, ,CCHR 0102-35,2001-02 Wildfire,5/11/2001,5/11/2001,246.0287733
6031, ,CCHR 0102-57,2001-02 Wildfire,8/01/2002,8/01/2002,512.6935367
6032, ,SNR 01/10,2001-02 Wildfire,,,0.29998179
6033, ,CCHR 0102-67,2001-02 Wildfire,5/01/2002,5/01/2002,146.1230302
6034, , ,2001-02 Wildfire,5/01/2002,5/01/2002,634.354184
6035, , ,2001-02 Wildfire,30/12/2001,30/12/2001,4568.480427
6036, , ,2001-02 Wildfire,30/12/2001,30/12/2001,3243.69254
6037, , ,2001-02 Wildfire,30/12/2001,30/12/2001,1305.248156
6038, ,CCHR 0102-SR003,2001-02 Wildfire,27/09/2001,27/09/2001,1.59921489
6039, , ,2001-02 Wildfire,,,0.69540629
6040, ,CCHR 0102-33,2001-02 Wildfire,,,1019.327084
6041, ,SNR 01/16,2001-02 Wildfire,18/03/2002,18/03/2002,0.10000046
6042, ,CCHR 0102-11,2001-02 Wildfire,9/10/2001,9/10/2001,3.87891516
6043, ,CCHR 0102-17,2001-02 Wildfire,14/10/2001,14/10/2001,2.68134089
6044, ,CCHR 0102-32,2001-02 Wildfire,,,4040.145452
6045, ,smt-2001-01,2001-02 Wildfire,3/07/2001,3/07/2001,0.00999917
6046, ,smt-2001-15,2001-02 Wildfire,27/10/2001,27/10/2001,0.00999915
6047, ,CCHR 0102-SR009,2001-02 Wildfire,12/08/2001,12/08/2001,0.60260194
6048, ,BMS-01-42,2001-02 Wildfire,11/12/2001,11/12/2001,291.0553415
6049, ,BMS-01-24,2001-02 Wildfire,7/01/2002,7/01/2002,40.7268244
6050, ,BMS-01-24,2001-02 Wildfire,7/01/2002,7/01/2002,777.5839769
6051, ,CCHR 0102-22,2001-02 Wildfire,16/11/2001,16/11/2001,6.5599842
6052, ,CCHR 0102-73,2001-02 Wildfire,16/01/2002,16/01/2002,17.7144018
6053, ,BMS-01-23,2001-02 Wildfire,7/12/2001,7/12/2001,5.43078479
6054, ,BMS-01-12,2001-02 Wildfire,8/10/2001,8/10/2001,0.84803022
6055, ,CCHR 0102-70,2001-02 Wildfire,7/01/2002,7/01/2002,58.83892453
6056, ,BMS-01-35,2001-02 Wildfire,16/12/2001,16/12/2001,147.6280748
6057, , ,2001-02 Wildfire,,,0.81979986
6058, ,SNR 01/09,2001-02 Wildfire,14/11/2001,14/11/2001,4.53330659
6059, ,SNR 01/07,2001-02 Wildfire,29/10/2001,29/10/2001,4.18523352
6060, ,CCHR 0102-58,2001-02 Wildfire,5/01/2002,5/01/2002,11574.35521
6061, ,BMS-01-07,2001-02 Wildfire,2/10/2001,2/10/2001,5.92111741
6062, ,BMS-01-52,2001-02 Wildfire,24/12/2001,24/12/2001,1.99804682
6063, , ,2001-02 Wildfire,3/12/2001,3/12/2001,0.009996
6064, , ,2001-02 Wildfire,,,0.56645709
6065, ,CCHR 0102-28,2001-02 Wildfire,5/11/2001,5/11/2001,34.78553803
6066, ,BMS-01-47,2001-02 Wildfire,12/12/2001,12/12/2001,34.87288245
6067, ,BMS-01-48,2001-02 Wildfire,12/12/2001,12/12/2001,32.13476154
6068, ,BMS-01-56,2001-02 Wildfire,13/01/2002,13/01/2002,657.0113487
6069, ,BMS-01-56,2001-02 Wildfire,13/01/2002,13/01/2002,23.27648903
6070, ,BMS-01-56,2001-02 Wildfire,13/01/2002,13/01/2002,8.90853085
6071, , ,2001-02 Wildfire,,,0.28680059
6072, ,CCHR 0102-21,2001-02 Wildfire,26/10/2001,26/10/2001,555.1893184
6073, ,BMS-01-71,2001-02 Wildfire,28/01/2002,28/01/2002,1.30043602
6074, ,SNR 01/04,2001-02 Wildfire,8/10/2001,8/10/2001,0.56418545
6075, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,25101.41246
6076, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,0.00184011
6077, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,0.00021894
6078, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,0.00011795
6079, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,0.00010792
6080, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,5.184e-05
6081, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,3.475e-05
6082, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,2.281e-05
6083, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,2.037e-05
6084, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,1.773e-05
6085, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,1.617e-05
6086, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,1.6e-06
6087, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,16300.69414
6088, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,2.668e-05
6089, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,2.57e-05
6090, ,smt-2001-28,2001-02 Wildfire,17/01/2002,17/01/2002,2.64e-06
6091, ,smt-2001-13,2001-02 Wildfire,26/10/2001,26/10/2001,0.09999952
6092, ,CCHR 0102-49,2001-02 Wildfire,,,592.8404441
6093, ,BMS,2001-02 Wildfire,,,2.49890517
6094, ,BMS,2001-02 Wildfire,,,2.49890724
6095, ,smt-01-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.07629227
6096, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.11324025
6097, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.08564818
6098, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.08816022
6099, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.08744922
6100, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.08892023
6101, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.084097
6102, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.07372017
6103, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.0562401
6104, ,smt-2001-06,2001-02 Wildfire,2/09/2001,2/09/2001,0.0676401
6105, , ,2001-02 Wildfire,,,1.89167422
6106, , ,2001-02 Wildfire,,,0.89889029
6107, ,CCHR 0102-68,2001-02 Wildfire,1/01/2002,1/01/2002,31.83715742
6108, ,BMS-01-68,2001-02 Wildfire,22/01/2002,22/01/2002,1.15037223
6109, ,CCHR 0102-18,2001-02 Wildfire,16/10/2001,16/10/2001,6.9559265
6110, ,smt-2001-02,2001-02 Wildfire,8/08/2001,8/08/2001,0.00999933
6111, ,smt-2001-10,2001-02 Wildfire,23/10/2001,23/10/2001,3.07255681
6112, , ,2001-02 Wildfire,,,39.55266858
6113, , ,2001-02 Wildfire,,,16.45445833
6114, ,BMS-01-?,2001-02 Wildfire,,,7.70435677
6115, , ,2001-02 Wildfire,,,5.35767427
6116, , ,2001-02 Wildfire,,,259.8483995
6117, , ,2001-02 Wildfire,,,142.4683395
6118, , ,2001-02 Wildfire,,,2.09629235
6119, , ,2001-02 Wildfire,,,139.9950679
6120, , ,2001-02 Wildfire,,,18.11629833
6121, , ,2001-02 Wildfire,,,54.02891039
6122, , ,2001-02 Wildfire,,,6.6294767
6123, , ,2001-02 Wildfire,,,2.05520094
6124, , ,2001-02 Wildfire,,,2.92569191
6125, , ,2001-02 Wildfire,,,95.48839094
6126, , ,2001-02 Wildfire,29/11/2001,29/11/2001,132.7661301
6127,Regentville,0102-SR009,2001-02 Wildfire,12/08/2001,12/08/2001,0.60260194
6128,Penrith Fire Control Centre,0102-SR003,2001-02 Wildfire,27/09/2001,27/09/2001,1.59921489
7155, ,TAR 2134,2001-02 Wildfire,,,4413.624466
7156, ,no,2001-02 Wildfire,,,118.1257993
7157, ,no,2001-02 Wildfire,,,48.31012601
7158, ,no,2001-02 Wildfire,,,11.57434948
7159, , ,2001-02 Wildfire,,,4.60659596
7189, ,TAR 2134,2001-02 Wildfire,,,4135.872927
7325, , ,2001-02 Wildfire,17/01/2002,17/01/2002,0.70389623
7326, , ,2001-02 Wildfire,17/01/2002,17/01/2002,2.21629185
7327, , ,2001-02 Wildfire,17/01/2002,17/01/2002,0.07960828
7328, , ,2001-02 Wildfire,,,81.943776
7329, , ,2001-02 Wildfire,,,185.4757322
7330, , ,2001-02 Wildfire,,,10.09327166
7331, , ,2001-02 Wildfire,,,295.7773471
7348, , ,2001-02 Wildfire,,,292.6221237
7411,Dads,0,2001-02 Wildfire,1/01/1970,1/01/1970,4.43256872
7420,Exmouth,0,2001-02 Wildfire,1/01/1970,1/01/1970,1871.108891
7559, ,0,2001-02 Wildfire,,,0.32432806
7619, ,0,2001-02 Wildfire,,,0.29484544
7620, ,0,2001-02 Wildfire,,,0.21621984
7621, ,0,2001-02 Wildfire,,,0.37346834
7625,Binnaway,0,2001-02 Wildfire,1/03/2002,1/01/1970,1.44991219
7628,Fire 2001,0,2001-02 Wildfire,1/01/1970,1/01/1970,8.07806328
7629,Fire 2001,0,2001-02 Wildfire,1/01/1970,1/01/1970,3595.655517
7630,Fire 2001,0,2001-02 Wildfire,1/01/1970,1/01/1970,2.42631606
7642,Wildfire,0,2001-02 Wildfire,1/12/2001,1/01/1970,10.81387947
7660, ,0,2001-02 Wildfire,27/11/2001,27/11/2001,1584.410484
7677,Narran Lake,0,2001-02 Wildfire,20/12/2001,1/01/1970,2271.650742
7702, ,0,2001-02 Wildfire,,,0.90455941
7721, ,0,2001-02 Wildfire,,,52.94462728
7728,Vallye View,0,2001-02 Wildfire,20/12/2001,1/01/1970,1443.749112
7751, ,0,2001-02 Wildfire,,,278.1592688
7773, ,0,2001-02 Wildfire,,,173.6561535
7774, ,0,2001-02 Wildfire,,,1861.490826
7809, ,0,2001-02 Wildfire,,,2078.481811
7810,Claggers Spring,0,2001-02 Wildfire,4/01/2002,1/01/1970,27537.63241
7815, ,0,2001-02 Wildfire,,,229.538524
7829,2001/02 fire season,0,2001-02 Wildfire,1/01/1970,1/01/1970,19.17340251
7878,2001/02 fire season,0,2001-02 Wildfire,1/01/1970,1/01/1970,203.0402942
7879,2001/02 fire season,0,2001-02 Wildfire,1/01/1970,1/01/1970,1410.119577
7884,2001/02 fire season,0,2001-02 Wildfire,1/01/1970,1/01/1970,2078.482734
7979,Shatz\adams well,0,2001-02 Wildfire,14/12/2001,1/01/1970,381.972227
8009,Old Mill,0,2001-02 Wildfire,21/12/2001,1/01/1970,84.45575494
8013,Old Cliffdale,0,2001-02 Wildfire,8/11/2001,1/01/1970,0.2096396
8014,Bohena,0,2001-02 Wildfire,16/01/2002,1/01/1970,2.58979528
8019,Railway,0,2001-02 Wildfire,18/11/2001,1/01/1970,1.87170623
8021,Staffords Well,0,2001-02 Wildfire,9/01/2002,1/01/1970,2522.711235
8023,Rail Fence,0,2001-02 Wildfire,8/11/2001,1/01/1970,0.90467514
8036,Goon,0,2001-02 Wildfire,30/06/2002,1/01/1970,7.28370463
8037,Goon,0,2001-02 Wildfire,30/06/2002,1/01/1970,25.07807845
8069,Scabby Jack,0,2001-02 Wildfire,2/01/2002,1/01/1970,8.6853228
8085,Canobolas 2001,0,2001-02 Wildfire,18/10/2001,1/01/1970,0.03196643
8108,Pennsylvania 2001,0,2001-02 Wildfire,29/10/2001,1/01/1970,25.83758961
8139,Mousehole Lane,0,2001-02 Wildfire,27/12/2001,1/01/1970,4.33739946
8158,Sunnycorner 2002,0,2001-02 Wildfire,17/03/2002,1/01/1970,0.38871614
10155,Mt Murray, ,2001-02 Wildfire,1/01/1970,1/01/1970,0.16874395
10156,Tin Pot Fires, ,2001-02 Wildfire,1/01/1970,1/01/1970,14.77997752
10157,Greendale, ,2001-02 Wildfire,1/01/1970,1/01/1970,60.29926078
10158,Deua, ,2001-02 Wildfire,1/01/1970,1/01/1970,46005.4134
10159,Deua, ,2001-02 Wildfire,1/01/1970,1/01/1970,171.9584324
10160,Gadjengary, ,2001-02 Wildfire,1/01/1970,1/01/1970,32.72640182
10161,McKeahnies Ck, ,2001-02 Wildfire,1/01/1970,1/01/1970,327.4652626
10162,Maddens Rd, ,2001-02 Wildfire,25/08/2001,25/08/2001,9.12974695
10163,Nursery Fire Meroo, ,2001-02 Wildfire,26/08/2001,26/08/2001,0.53740732
10164,Kingaman Rd, ,2001-02 Wildfire,26/06/2001,26/06/2001,0.26819119
10165,Hyams Fire, ,2001-02 Wildfire,29/09/2001,29/09/2001,70.21572763
10166,Wrights Beach, ,2001-02 Wildfire,10/10/2001,10/10/2001,97.64889538
10167,Munro Road, ,2001-02 Wildfire,20/10/2001,20/10/2001,7.59493373
10168,West Berrara, ,2001-02 Wildfire,31/10/2001,31/10/2001,88.42211268
10169,Pine Forest Fire, ,2001-02 Wildfire,16/11/2001,16/11/2001,10.11901819
10170,Budderoo Fire, ,2001-02 Wildfire,3/12/2001,3/12/2001,0.88500809
10171,Barringell, ,2001-02 Wildfire,7/12/2001,7/12/2001,2.05386893
10172,Dam Rd, ,2001-02 Wildfire,19/12/2001,19/12/2001,0.20352345
10173,Jerrawangala, ,2001-02 Wildfire,20/12/2001,20/12/2001,0.48086113
10174,Blackbutt Rd, ,2001-02 Wildfire,24/08/2001,24/08/2001,9.32865834
10175,Woden Street/Hylands, ,2001-02 Wildfire,29/01/2002,29/01/2002,36.18280471
10176,Woden Street/Hylands, ,2001-02 Wildfire,29/01/2002,29/01/2002,13.74155009
10177,Vincentia Primary School, ,2001-02 Wildfire,21/08/2001,21/08/2001,0.41178168
10178,Blackbutt Road, ,2001-02 Wildfire,29/10/2001,29/10/2001,5.71013079
10179,Suffolks Road Fire, ,2001-02 Wildfire,29/10/2001,29/10/2001,72.23718757
10180,Belmore Falls, ,2001-02 Wildfire,1/01/1970,1/01/1970,164.3413045
10181,Conjola Lake, ,2001-02 Wildfire,1/01/1970,1/01/1970,58.20175266
10182,Romney Park Road, ,2001-02 Wildfire,21/08/2001,21/08/2001,1.39049826
10183,Woden Street, ,2001-02 Wildfire,1/08/2001,1/08/2001,43.29780146
10184,Woden Street, ,2001-02 Wildfire,20/08/2001,20/08/2001,17.77273994
10185, , ,2001-02 Wildfire,,,0.81642133
10186,Burrill Lake, ,2001-02 Wildfire,8/07/2001,8/07/2001,0.30730621
10187, , ,2001-02 Wildfire,,,11.91163988
10188,Wandandian Fires, ,2001-02 Wildfire,26/08/2001,26/08/2001,84.46883054
10189,Hylands, ,2001-02 Wildfire,24/12/2001,29/01/2002,96401.6854
10190,Bucks Rd, ,2001-02 Wildfire,8/01/2002,8/01/2002,0.70229052
10191, , ,2001-02 Wildfire,,,19.36760824
10192,Woden Street/Hylands, ,2001-02 Wildfire,29/01/2002,29/01/2002,33.55382632
10193,Depot Beach, ,2001-02 Wildfire,18/08/2001,18/08/2001,0.46581779
10194,Perkins Flat, ,2001-02 Wildfire,1/01/1970,1/01/1970,3.68196517
10195, , ,2001-02 Wildfire,,,4.31123145
10196,Ravine, ,2001-02 Wildfire,1/01/1970,1/01/1970,41.63640904
10197,Woolpack, ,2001-02 Wildfire,5/12/2001,5/12/2001,28.16172491
10198,Fiery Range, ,2001-02 Wildfire,1/01/1970,1/01/1970,19.00037707
10199,McFarlane's, ,2001-02 Wildfire,1/01/1970,1/01/1970,33.91149444
11739,Burke River and Appin Rd, ,2001-02 Wildfire,14/01/2002,14/01/2002,160.3287147
11740,Burke River and Appin Rd, ,2001-02 Wildfire,14/01/2002,14/01/2002,47747.54867
11741,Burke River and Appin Rd, ,2001-02 Wildfire,14/01/2002,14/01/2002,47.63799511
11742,Burke River and Appin Rd, ,2001-02 Wildfire,14/01/2002,14/01/2002,124.4896827
17096,Fingal Spit,HUN01001,2001-02 Wildfire,19/07/2001,19/07/2001,0.05652919
17097,Banksia Green,HUN01002,2001-02 Wildfire,1/08/2001,1/08/2001,0.07789742
17098,Gan Gan Car,HUN01003,2001-02 Wildfire,3/08/2001,3/08/2001,0.00085248
17099,Sandy Point,HUN01004,2001-02 Wildfire,1/08/2001,1/08/2001,0.09390546
17100,Horse Point,HUN01005,2001-02 Wildfire,20/08/2001,21/08/2001,1.97768062
17101,Mungo Brush Road,HUN01006,2001-02 Wildfire,23/08/2001,23/08/2001,0.36794073
17102,Seal Rocks Road,HUN01007,2001-02 Wildfire,24/08/2001,24/08/2001,1.86512901
17103,Tiona,HUN01008,2001-02 Wildfire,12/09/2001,13/09/2001,68.09430206
17104,Quadbox Road,HUN01009,2001-02 Wildfire,25/09/2001,27/09/2001,16.63400827
17105,Myall Lakes,HUN01010,2001-02 Wildfire,7/10/2001,11/10/2001,204.9822309
17106,Stewart & Llyods,HUN01011,2001-02 Wildfire,17/10/2001,18/10/2001,0.00108026
17107,Monkeycott Bluff,HUN01012,2001-02 Wildfire,1/01/1970,3/11/2001,819.4256128
17108,Rockville,HUN01013,2001-02 Wildfire,22/10/2001,24/10/2001,17.85559347
17109,Greswick,HUN01014,2001-02 Wildfire,26/10/2001,2/11/2001,1865.540765
17110,Kauthi Station,HUN01015,2001-02 Wildfire,1/01/1970,9/11/2001,1035.817771
17111,Little River,HUN01016,2001-02 Wildfire,27/10/2001,31/10/2001,123.3773684
17112,Tuggolo Creek,HUN01017,2001-02 Wildfire,1/01/1970,8/11/2001,3268.967406
17113,Rocky Track,HUN01018,2001-02 Wildfire,4/11/2001,5/11/2001,3.42841678
17114,Myall River,HUN01019,2001-02 Wildfire,3/12/2001,5/12/2001,141.8189808
17115,Vinegar Hill,HUN01020,2001-02 Wildfire,3/12/2001,7/12/2001,140.0504833
17116,Fingal Head,HUN01021,2001-02 Wildfire,21/12/2001,21/12/2001,1.15497943
17117,Swan bay,HUN01022,2001-02 Wildfire,1/01/1970,6/01/2002,3668.589876
17118,Sugar Creek,HUN01023,2001-02 Wildfire,8/01/2002,1/01/1970,274.4626459
17119,7 Mile Beach,HUN01024,2001-02 Wildfire,30/12/2001,31/12/2001,0.52207747
17120,Merric,HUN01026,2001-02 Wildfire,30/01/2002,31/01/2002,300.2013614
17121,Horse Point 2,HUN01027,2001-02 Wildfire,3/03/2002,3/03/2002,6.84244636
17122,Lemon Tree Beach Access,HUN01028,2001-02 Wildfire,18/03/2002,18/03/2002,0.12619674
17123,Green Point,HUN01030,2001-02 Wildfire,21/05/2002,22/05/2002,47.68663116
17124,O'Connors or Gap Beach,MNC01001,2001-02 Wildfire,17/07/2001,17/07/2001,1.57808931
17125,Bakers Road,MNC01002,2001-02 Wildfire,9/08/2001,10/08/2001,233.6042237
17126,Bakers Road West,MNC01003,2001-02 Wildfire,17/08/2001,23/08/2001,1618.354945
17127,Colins Road,MNC01004,2001-02 Wildfire,17/08/2001,20/08/2001,36.4288048
17128,Temagog Creek,MNC01005,2001-02 Wildfire,11/08/2001,3/09/2001,2409.878435
17129,Ryans Cut,MNC01006,2001-02 Wildfire,17/08/2001,19/08/2001,9.25439191
17130,Dingo Creek,MNC01007,2001-02 Wildfire,17/08/2001,27/08/2001,423.9370439
17131,Gingers Creek,MNC01008,2001-02 Wildfire,11/08/2001,31/08/2001,10.69916476
17132,Dungay Creek,MNC01009,2001-02 Wildfire,22/08/2001,27/08/2001,135.6127389
17133,Ryans Cut West,MNC01010,2001-02 Wildfire,17/08/2001,24/08/2001,22.47404252
17134,Middle Creek,MNC01011,2001-02 Wildfire,22/08/2001,3/09/2001,535.4443736
17135,Beranghi Road,MNC01012,2001-02 Wildfire,23/08/2001,27/08/2001,177.0956176
17136,McGuires Crossing,MNC01013,2001-02 Wildfire,23/08/2001,25/08/2001,18.30923199
17137,Clearfield,MNC01014,2001-02 Wildfire,2/09/2001,6/09/2001,271.5205859
17138,Mockingbird,MNC01015,2001-02 Wildfire,9/09/2001,12/09/2001,234.8226334
17139,Perch Road,MNC01016,2001-02 Wildfire,10/09/2001,12/09/2001,102.8226172
